关卡ID,关卡名称,宝箱需要时间,每秒产出金币,每秒产出经验,需要战力,怪物模型队列,宝箱奖励ID队列,宝箱奖励权重队列,加速宝箱奖励ID队列,加速宝箱奖励权重队列,事件ID队列,图标ID,Layer1,Layer2,Layer3,Layer4,背景顶部颜色,背景底部颜色,装饰物ID_1,装饰物ID_2,装饰物ID_3,装饰物ID_4,场景ID,关卡描述,事件总时间
28,低径村庄,900,55,64,76200,1051;1054;1084,42401;42402;42403;42409;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41471;41472;41473;41474;41475;41476;41477;41478;41479;41480;41481;41482;41483;40471;40472;40473;40474;40475;40476;40477;40478;40479;40480;40481;40482;40483,1041;1041;1041;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120,42401;42402;42403;42409;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41471;41472;41473;41474;41475;41476;41477;41478;41479;41480;41481;41482;41483;40471;40472;40473;40474;40475;40476;40477;40478;40479;40480;40481;40482;40483,3124;3124;3124;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120,82;83;84,3000,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3000,低径村庄描述内容,3660
29,低径沼泽,900,57,66,90200,1051;1054;2024,42401;42402;42403;42409;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41474;41475;41476;41477;41478;41479;41480;41481;41482;41483;41484;41485;41486;40474;40475;40476;40477;40478;40479;40480;40481;40482;40483;40484;40485;40486,1041;1041;1041;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120,42401;42402;42403;42409;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41474;41475;41476;41477;41478;41479;41480;41481;41482;41483;41484;41485;41486;40474;40475;40476;40477;40478;40479;40480;40481;40482;40483;40484;40485;40486,3124;3124;3124;1800;1800;1800;1800;1800;1250;1250;1250;1250;1250;1250;625;625;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120,85;86;87,3070,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3070,低径沼泽描述内容,3660
30,洞穴,900,62,71,100000,1051;1054;2024,42401;42402;42403;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41477;41478;41479;41480;41481;41482;41483;41484;41485;41486;41487;41488;41489;40477;40478;40479;40480;40481;40482;40483;40484;40485;40486;40487;40488;40489,1041;1041;1041;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,42401;42402;42403;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41477;41478;41479;41480;41481;41482;41483;41484;41485;41486;41487;41488;41489;40477;40478;40479;40480;40481;40482;40483;40484;40485;40486;40487;40488;40489,3124;3124;3124;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,88;89;90,3070,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3070,洞穴描述内容,3660
31,高径,900,65,73,114000,1092;2035,42401;42402;42403;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41480;41481;41482;41483;41484;41485;41486;41487;41488;41489;41490;41491;41492;40480;40481;40482;40483;40484;40485;40486;40487;40488;40489;40490;40491;40492,1041;1041;1041;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,42401;42402;42403;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41480;41481;41482;41483;41484;41485;41486;41487;41488;41489;41490;41491;41492;40480;40481;40482;40483;40484;40485;40486;40487;40488;40489;40490;40491;40492,3124;3124;3124;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,91;92;93,3060,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3060,高径描述内容,3660
32,高径悬崖,900,68,77,130000,1077;2035;1161,42401;42402;42403;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41483;41484;41485;41486;41487;41488;41489;41490;41491;41492;41493;41494;41495;40483;40484;40485;40486;40487;40488;40489;40490;40491;40492;40493;40494;40495,1041;1041;1041;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,42401;42402;42403;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41483;41484;41485;41486;41487;41488;41489;41490;41491;41492;41493;41494;41495;40483;40484;40485;40486;40487;40488;40489;40490;40491;40492;40493;40494;40495,3124;3124;3124;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,94;95;96,3060,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3060,高径悬崖描述内容,3660
33,高径瀑布,900,70,79,146000,1092;1077;2035,42401;42402;42403;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41486;41487;41488;41489;41490;41491;41492;41493;41494;41495;41496;41497;41498;40486;40487;40488;40489;40490;40491;40492;40493;40494;40495;40496;40497;40498,1041;1041;1041;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,42401;42402;42403;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41486;41487;41488;41489;41490;41491;41492;41493;41494;41495;41496;41497;41498;40486;40487;40488;40489;40490;40491;40492;40493;40494;40495;40496;40497;40498,3124;3124;3124;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,97;98;99,3030,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3030,高径瀑布描述内容,3660
34,时空乱流,900,74,81,160000,1070;1059;1071,42401;42402;42403;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41489;41490;41491;41492;41493;41494;41495;41496;41497;41498;41499;41500;41501;40489;40490;40491;40492;40493;40494;40495;40496;40497;40498;40499;40500;40501,1041;1041;1041;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,42401;42402;42403;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41489;41490;41491;41492;41493;41494;41495;41496;41497;41498;41499;41500;41501;40489;40490;40491;40492;40493;40494;40495;40496;40497;40498;40499;40500;40501,3124;3124;3124;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,100;101;102,3010,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3010,时空乱流描述内容,3660
35,扭曲虚空,900,78,84,200000,1081;1083;1085,42401;42402;42403;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41492;41493;41494;41495;41496;41497;41498;41499;41500;41501;41502;41503;41504;40492;40493;40494;40495;40496;40497;40498;40499;40500;40501;40502;40503;40504,1041;1041;1041;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,42401;42402;42403;42410;42411;42412;42414;42515;42507;42508;42509;42510;42537;42529;42516;41492;41493;41494;41495;41496;41497;41498;41499;41500;41501;41502;41503;41504;40492;40493;40494;40495;40496;40497;40498;40499;40500;40501;40502;40503;40504,3124;3124;3124;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,103;104;105,3030,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3030,扭曲虚空描述内容,3660
36,虚空荒原,900,81,89,218000,1049;1152;1128,42401;42402;42403;42410;42411;42412;42414;42507;42508;42509;42510;42537;42511;42529;42516;41495;41496;41497;41498;41499;41500;41501;41502;41503;41504;41505;41506;41507;40495;40496;40497;40498;40499;40500;40501;40502;40503;40504;40505;40506;40507,1041;1041;1041;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,42401;42402;42403;42410;42411;42412;42414;42507;42508;42509;42510;42537;42511;42529;42516;41495;41496;41497;41498;41499;41500;41501;41502;41503;41504;41505;41506;41507;40495;40496;40497;40498;40499;40500;40501;40502;40503;40504;40505;40506;40507,3124;3124;3124;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,106;107;108,3010,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3010,虚空荒原描述内容,3660
37,虚空村庄,900,85,91,242000,1152;1128;1127,42401;42402;42403;42410;42411;42412;42414;42507;42508;42509;42510;42537;42511;42529;42516;41498;41499;41500;41501;41502;41503;41504;41505;41506;41507;41508;41509;41510;40498;40499;40500;40501;40502;40503;40504;40505;40506;40507;40508;40509;40510,1041;1041;1041;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,42401;42402;42403;42410;42411;42412;42414;42507;42508;42509;42510;42537;42511;42529;42516;41498;41499;41500;41501;41502;41503;41504;41505;41506;41507;41508;41509;41510;40498;40499;40500;40501;40502;40503;40504;40505;40506;40507;40508;40509;40510,3124;3124;3124;2125;2125;2125;2125;1250;1250;1250;1250;1250;1250;625;625;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139;1139,109;110;111,3060,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3060,虚空村庄描述内容,3660
38,虚空平原,900,88,95,264000,1017;1128;1127,42401;42402;42403;42404;42405;42406;42411;42412;42414;42507;42508;42509;42510;42537;42511;42529;42516;41501;41502;41503;41504;41505;41506;41507;41508;41509;41510;41511;41512;41513;40501;40502;40503;40504;40505;40506;40507;40508;40509;40510;40511;40512;40513,1041;1041;1041;3000;3000;3000;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812,42401;42402;42403;42404;42405;42406;42411;42412;42414;42507;42508;42509;42510;42537;42511;42529;42516;41501;41502;41503;41504;41505;41506;41507;41508;41509;41510;41511;41512;41513;40501;40502;40503;40504;40505;40506;40507;40508;40509;40510;40511;40512;40513,3124;3124;3124;3000;3000;3000;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812,112;113;114,3050,0,3022,3023,3024,#7c1d1f,#d9632b,3025,3026,3027,3028,3050,虚空平原描述内容,3660
39,虚空王城,900,91,98,292000,1092;2035,42401;42402;42403;42411;42412;42414;42507;42508;42509;42510;42537;42511;42529;42516;41504;41505;41506;41507;41508;41509;41510;41511;41512;41513;41514;41515;41516;40504;40505;40506;40507;40508;40509;40510;40511;40512;40513;40514;40515;40516,1041;1041;1041;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,42401;42402;42403;42411;42412;42414;42507;42508;42509;42510;42537;42511;42529;42516;41504;41505;41506;41507;41508;41509;41510;41511;41512;41513;41514;41515;41516;40504;40505;40506;40507;40508;40509;40510;40511;40512;40513;40514;40515;40516,3124;3124;3124;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,115;116;117,3040,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3040,虚空王城描述内容,3660
40,王城下层,900,94,104,324000,1077;2035;1161,42401;42402;42403;42411;42412;42414;42508;42509;42510;42537;42511;42512;42529;42516;41507;41508;41509;41510;41511;41512;41513;41514;41515;41516;41517;41518;41519;40507;40508;40509;40510;40511;40512;40513;40514;40515;40516;40517;40518;40519,1041;1041;1041;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,42401;42402;42403;42411;42412;42414;42508;42509;42510;42537;42511;42512;42529;42516;41507;41508;41509;41510;41511;41512;41513;41514;41515;41516;41517;41518;41519;40507;40508;40509;40510;40511;40512;40513;40514;40515;40516;40517;40518;40519,3124;3124;3124;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,118;119;120,3060,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3060,王城下层描述内容,3660
41,地下城同盟,900,98,106,360000,1092;2035,42401;42402;42403;42411;42412;42414;42508;42509;42510;42537;42511;42512;42529;42516;41510;41511;41512;41513;41514;41515;41516;41517;41518;41519;41520;41521;41522;40510;40511;40512;40513;40514;40515;40516;40517;40518;40519;40520;40521;40522,1041;1041;1041;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,42401;42402;42403;42411;42412;42414;42508;42509;42510;42537;42511;42512;42529;42516;41510;41511;41512;41513;41514;41515;41516;41517;41518;41519;41520;41521;41522;40510;40511;40512;40513;40514;40515;40516;40517;40518;40519;40520;40521;40522,3124;3124;3124;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,121;122;123,3040,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3040,-,3660
42,虚空禁区,900,101,109,390000,1152;1128;1127,42401;42402;42403;42411;42412;42414;42508;42509;42510;42537;42511;42512;42529;42516;41513;41514;41515;41516;41517;41518;41519;41520;41521;41522;41523;41524;41525;40513;40514;40515;40516;40517;40518;40519;40520;40521;40522;40523;40524;40525,1041;1041;1041;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,42401;42402;42403;42411;42412;42414;42508;42509;42510;42537;42511;42512;42529;42516;41513;41514;41515;41516;41517;41518;41519;41520;41521;41522;41523;41524;41525;40513;40514;40515;40516;40517;40518;40519;40520;40521;40522;40523;40524;40525,3124;3124;3124;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,124;125;126,3010,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3010,虚空禁区描述内容,3660
43,虚空遗迹,900,103,113,428000,1154;1059;1127,42401;42402;42403;42411;42412;42414;42509;42510;42537;42511;42512;42520;42529;42516;41516;41517;41518;41519;41520;41521;41522;41523;41524;41525;41526;41527;41528;40516;40517;40518;40519;40520;40521;40522;40523;40524;40525;40526;40527;40528,1041;1041;1041;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,42401;42402;42403;42411;42412;42414;42509;42510;42537;42511;42512;42520;42529;42516;41516;41517;41518;41519;41520;41521;41522;41523;41524;41525;41526;41527;41528;40516;40517;40518;40519;40520;40521;40522;40523;40524;40525;40526;40527;40528,3124;3124;3124;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,127;128;129,3040,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3040,虚空遗迹描述内容,3660
44,遗迹核心,900,107,116,470000,1152;1128;1127,42401;42402;42403;42411;42412;42414;42509;42510;42537;42511;42512;42520;42529;42516;41519;41520;41521;41522;41523;41524;41525;41526;41527;41528;41529;41530;41531;40519;40520;40521;40522;40523;40524;40525;40526;40527;40528;40529;40530;40531,1041;1041;1041;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,42401;42402;42403;42411;42412;42414;42509;42510;42537;42511;42512;42520;42529;42516;41519;41520;41521;41522;41523;41524;41525;41526;41527;41528;41529;41530;41531;40519;40520;40521;40522;40523;40524;40525;40526;40527;40528;40529;40530;40531,3124;3124;3124;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,130;131;132,3060,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3060,遗迹核心描述内容,3660
45,王城上层,900,109,118,516000,1154;1059;1127,42401;42402;42403;42404;42405;42406;42411;42412;42414;42509;42510;42537;42511;42512;42520;42529;42516;41522;41523;41524;41525;41526;41527;41528;41529;41530;41531;41532;41533;41534;40522;40523;40524;40525;40526;40527;40528;40529;40530;40531;40532;40533;40534,1041;1041;1041;3000;3000;3000;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812,42401;42402;42403;42404;42405;42406;42411;42412;42414;42509;42510;42537;42511;42512;42520;42529;42516;41522;41523;41524;41525;41526;41527;41528;41529;41530;41531;41532;41533;41534;40522;40523;40524;40525;40526;40527;40528;40529;40530;40531;40532;40533;40534,3124;3124;3124;3000;3000;3000;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812,133;134;135,3050,0,3022,3023,3024,#7c1d1f,#d9632b,3025,3026,3027,3028,3050,王城上层描述内容,3660
46,虚空教堂,900,113,121,566000,1152;1128;1127,42401;42402;42403;42411;42412;42414;42510;42537;42511;42512;42520;42521;42516;42528;41525;41526;41527;41528;41529;41530;41531;41532;41533;41534;41535;41536;41537;40525;40526;40527;40528;40529;40530;40531;40532;40533;40534;40535;40536;40537,1041;1041;1041;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,42401;42402;42403;42411;42412;42414;42510;42537;42511;42512;42520;42521;42516;42528;41525;41526;41527;41528;41529;41530;41531;41532;41533;41534;41535;41536;41537;40525;40526;40527;40528;40529;40530;40531;40532;40533;40534;40535;40536;40537,3124;3124;3124;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,136;137;138,3030,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3030,虚空教堂描述内容,3660
47,时空之炬,900,115,125,620000,1154;1059;1127,42401;42402;42403;42411;42412;42414;42510;42537;42511;42512;42520;42521;42516;42528;41528;41529;41530;41531;41532;41533;41534;41535;41536;41537;41538;41539;41540;40528;40529;40530;40531;40532;40533;40534;40535;40536;40537;40538;40539;40540,1041;1041;1041;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,42401;42402;42403;42411;42412;42414;42510;42537;42511;42512;42520;42521;42516;42528;41528;41529;41530;41531;41532;41533;41534;41535;41536;41537;41538;41539;41540;40528;40529;40530;40531;40532;40533;40534;40535;40536;40537;40538;40539;40540,3124;3124;3124;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,139;140;141,3000,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3000,时空之炬描述内容,3660
48,时空隧道,900,119,128,678000,1152;1128;1127,42401;42402;42403;42411;42412;42414;42510;42537;42511;42512;42520;42521;42516;42528;41531;41532;41533;41534;41535;41536;41537;41538;41539;41540;41541;41542;41543;40531;40532;40533;40534;40535;40536;40537;40538;40539;40540;40541;40542;40543,1041;1041;1041;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,42401;42402;42403;42411;42412;42414;42510;42537;42511;42512;42520;42521;42516;42528;41531;41532;41533;41534;41535;41536;41537;41538;41539;41540;41541;41542;41543;40531;40532;40533;40534;40535;40536;40537;40538;40539;40540;40541;40542;40543,3124;3124;3124;2666;2666;2666;1250;1250;1250;1250;1250;1250;625;625;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158;1158,142;143;144,3060,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3060,时空隧道描述内容,3660
49,回归之地,900,123,130,740000,1154;1059;1127,42401;42402;42403;42411;42412;42414;42537;42511;42512;42520;42521;42516;42528;41534;41535;41536;41537;41538;41539;41540;41541;41542;41543;41544;41545;41546;40534;40535;40536;40537;40538;40539;40540;40541;40542;40543;40544;40545;40546,1041;1041;1041;2666;2666;2666;1500;1500;1500;1500;1500;750;750;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149,42401;42402;42403;42411;42412;42414;42537;42511;42512;42520;42521;42516;42528;41534;41535;41536;41537;41538;41539;41540;41541;41542;41543;41544;41545;41546;40534;40535;40536;40537;40538;40539;40540;40541;40542;40543;40544;40545;40546,3124;3124;3124;2666;2666;2666;1500;1500;1500;1500;1500;750;750;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149,145;146;147,3030,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3030,回归之地描述内容,3660
50,污染的森林,900,125,134,806000,1152;1128;1127,42401;42402;42403;42411;42412;42414;42537;42511;42512;42520;42521;42516;42528;41537;41538;41539;41540;41541;41542;41543;41544;41545;41546;41547;41548;41549;40537;40538;40539;40540;40541;40542;40543;40544;40545;40546;40547;40548;40549,1041;1041;1041;2666;2666;2666;1500;1500;1500;1500;1500;750;750;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149,42401;42402;42403;42411;42412;42414;42537;42511;42512;42520;42521;42516;42528;41537;41538;41539;41540;41541;41542;41543;41544;41545;41546;41547;41548;41549;40537;40538;40539;40540;40541;40542;40543;40544;40545;40546;40547;40548;40549,3124;3124;3124;2666;2666;2666;1500;1500;1500;1500;1500;750;750;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149,148;149;150,3000,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,3000,污染的森林描述内容,3660
51,兰沃村遗址,900,128,137,881000,1154;1059;1127,42401;42402;42403;42411;42412;42414;42537;42511;42512;42520;42521;42516;42528;41540;41541;41542;41543;41544;41545;41546;41547;41548;41549;41550;41551;41552;40540;40541;40542;40543;40544;40545;40546;40547;40548;40549;40550;40551;40552,1041;1041;1041;2666;2666;2666;1500;1500;1500;1500;1500;750;750;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149,42401;42402;42403;42411;42412;42414;42537;42511;42512;42520;42521;42516;42528;41540;41541;41542;41543;41544;41545;41546;41547;41548;41549;41550;41551;41552;40540;40541;40542;40543;40544;40545;40546;40547;40548;40549;40550;40551;40552,3124;3124;3124;2666;2666;2666;1500;1500;1500;1500;1500;750;750;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149;1149,151;152;153,3010,0,3032,3033,3034,#72a6e7,#e8fbd2,3035,3036,3037,3038,3010,兰沃村遗址描述内容,3660
